"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa00270","Metabolism","Amino acid metabolism","hsa00270","Cysteine and methionine metabolism","13/1022","52/9446",0.25,2.31066536203523,3.30092354903186,0.00292588232092591,0.0101651787850725,0.005619980149798,"7263/2730/4357/26227/6723/587/29968/23382/55256/27430/3939/113675/102724560",13
"hsa04713","Organismal Systems","Environmental adaptation","hsa04713","Circadian entrainment","20/1022","97/9446",0.206185567010309,1.90570339136926,3.12288887911814,0.00324419257122482,0.0111560499643139,0.00616779898073892,"5187/8863/9252/59345/2790/196883/5592/114/5593/815/5567/801/2892/54331/2783/2890/1385/23236/51655/5595",20
"hsa05130","Human Diseases","Infectious disease: bacterial","hsa05130","Pathogenic Escherichia coli infection","35/1022","203/9446",0.172413793103448,1.59356231864498,2.9776600555516,0.00346751354625822,0.0117038003754482,0.00647063147416628,"9181/10810/10092/7277/9475/10093/5010/9265/7846/836/10381/60/4792/5602/6093/4641/10427/8936/10096/2768/26999/375/5781/71/4643/1902/3725/10376/23365/10787/10094/4793/5970/5595/8743",35
"hsa00620","Metabolism","Carbohydrate metabolism","hsa00620","Pyruvate metabolism","12/1022","47/9446",0.25531914893617,2.35982845484449,3.25506360161392,0.00347293779686891,0.0117038003754482,0.00647063147416628,"224/125/84532/134526/219/1737/3939/4199/130/128/217/5162",12
"hsa04070","Environmental Information Processing","Signal transduction","hsa04070","Phosphatidylinositol signaling system","20/1022","98/9446",0.204081632653061,1.8862574383961,3.07171436828983,0.00367266017375698,0.0122543215698624,0.00677499583903059,"10423/3613/5295/64419/5728/8503/160851/9677/3632/801/5290/8760/5336/5293/3709/253430/3707/23236/8871/8525",20
"hsa04137","Cellular Processes","Transport and catabolism","hsa04137","Mitophagy - animal","21/1022","105/9446",0.2,1.84853228962818,3.04532457271752,0.00380225373288593,0.0124403835726462,0.00687786316526121,"338382/2309/10370/10241/7314/65018/84557/84749/6237/27342/79065/8878/5602/11345/22879/3725/22800/4893/7157/7942/5970",21
"hsa04974","Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","21/1022","105/9446",0.2,1.84853228962818,3.04532457271752,0.00380225373288593,0.0124403835726462,0.00687786316526121,"1277/1294/54407/1281/1282/1301/476/10008/1284/6510/1286/206358/1278/1298/1290/1289/6546/1285/1287/255631/50509",21
"hsa04630","Environmental Information Processing","Signal transduction","hsa04630","JAK-STAT signaling pathway","30/1022","168/9446",0.178571428571429,1.65047525859659,2.96295795741388,0.00386396295694615,0.0125207261201044,0.00692228181558167,"85480/896/4609/3976/5894/5295/6774/6777/3952/6776/4170/316/2475/8503/1026/8651/5290/5159/3717/5292/3592/5293/6655/5781/5154/9655/3459/5156/9180/3570",30
"hsa04370","Environmental Information Processing","Signal transduction","hsa04370","VEGF signaling pathway","14/1022","60/9446",0.233333333333333,2.15662100456621,3.13035560076747,0.00406729866745242,0.012930940103127,0.00714907511558171,"5894/5321/5295/5881/7422/8503/3315/5290/5604/5336/5293/4893/5743/5595",14
"hsa04730","Organismal Systems","Nervous system","hsa04730","Long-term depression","14/1022","60/9446",0.233333333333333,2.15662100456621,3.13035560076747,0.00406729866745242,0.012930940103127,0.00714907511558171,"5894/5321/5592/5593/5516/3480/5604/2892/2768/2890/3709/4893/23236/5595",14
"hsa04720","Organismal Systems","Nervous system","hsa04720","Long-term potentiation","15/1022","67/9446",0.223880597014925,2.06925256301662,3.0591916366285,0.00455279967001125,0.0143391914840541,0.00792764920405303,"5894/5500/6196/114/815/5567/801/5604/2890/3709/814/5499/4893/23236/5595",15
"hsa05030","Human Diseases","Substance dependence","hsa05030","Cocaine addiction","12/1022","49/9446",0.244897959183673,2.26350892607532,3.08850985090019,0.00500912927491638,0.0156037368968658,0.00862677317115492,"4128/90993/9586/84152/5567/3725/26086/1742/4129/1385/64764/5970",12
"hsa00770","Metabolism","Metabolism of cofactors and vitamins","hsa00770","Pantothenate and CoA biosynthesis","7/1022","21/9446",0.333333333333333,3.0808871493803,3.32494714603917,0.005046905999283,0.0156037368968658,0.00862677317115492,"224/587/219/80347/339896/5167/217",7
"hsa04960","Organismal Systems","Excretory system","hsa04960","Aldosterone-regulated sodium reabsorption","10/1022","38/9446",0.263157894736842,2.43227932845813,3.08132933001068,0.00587068638344777,0.0179856482838354,0.00994365062076799,"5295/23327/476/8503/5290/5293/3667/4306/6446/5595",10
