symbol,log2FoldChange,padj,A_Sham_4,A_Sham_5,A_Sham_6,A_svd_4,A_svd_5,A_svd_6
Mageb4,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
Mageb5,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
Maged1,-0.112,0.078,101.139,119.035,110.130,90.070,102.247,97.260
Maged2,0.444,0.046,21.983,24.650,20.188,25.295,36.910,34.379
Magee1,-0.167,0.291,6.988,9.508,8.263,5.448,5.591,8.844
Magee2,-0.297,0.267,1.358,2.521,0.485,0.661,0.726,0.730
Magef1,0.310,0.339,1.178,0.215,2.198,1.783,1.561,2.287
Mageh1,-0.064,0.542,27.915,28.683,27.402,26.659,20.661,30.222
Magel2,-0.044,0.603,0.254,0.385,0.613,0.313,0.359,0.379
Magi1,0.513,0.012,6.163,4.638,5.332,9.426,8.611,7.665
Magi2,0.030,0.690,7.209,6.639,7.928,7.808,7.543,6.941
Magi3,0.007,0.973,8.705,5.167,4.788,6.340,5.351,6.924
Magix,0.063,0.784,1.786,3.158,1.630,2.395,3.233,1.432
Magoh,0.194,0.503,27.593,32.907,13.283,36.285,26.582,24.154
Magohb,0.228,0.719,7.997,3.475,0.000,4.808,7.638,2.096
Magt1,0.008,0.970,24.396,28.850,13.177,22.700,20.031,23.089
Mak,-0.214,0.248,0.822,1.373,0.406,0.333,0.722,0.311
Mak16,-0.222,0.172,14.560,17.313,10.701,9.738,12.873,9.377
Mal,-0.067,0.460,109.582,124.777,139.357,108.531,114.066,122.314
Mal2,0.035,0.906,20.737,32.470,9.831,21.529,20.700,21.791
Malat1,0.451,0.032,1187.830,817.869,912.683,1516.930,1345.600,1334.320
Mall,0.508,0.137,17.450,18.938,15.105,26.230,17.526,34.456
Malsu1,0.100,0.857,17.111,1.677,9.451,6.895,7.990,16.474
Malt1,0.017,0.922,1.431,2.443,1.193,1.200,1.738,2.185
Mamdc2,-0.081,0.823,2.360,0.000,2.083,1.959,1.266,0.632
Mamdc4,0.293,0.225,0.000,0.000,0.000,0.049,0.129,0.698
Maml1,0.042,0.767,6.576,5.002,4.450,6.174,5.931,4.529
Maml2,-0.162,0.571,11.447,12.393,4.012,9.186,6.758,6.493
Maml3,0.000,0.999,2.484,2.025,1.750,2.801,2.051,1.326
Mamld1,0.174,0.512,3.101,2.907,1.357,3.485,3.796,1.752
Mamstr,-0.292,0.035,3.521,3.441,3.619,1.931,2.965,1.636
Man1a,0.357,0.145,12.540,15.782,14.496,23.702,14.033,20.718
Man1a2,0.020,0.873,18.354,15.553,13.974,13.857,19.022,15.478
Man1b1,0.256,0.149,26.981,23.770,18.016,27.132,33.169,25.729
Man1c1,-0.019,0.925,18.504,11.788,22.999,17.608,18.107,16.207
Man2a1,0.301,0.053,9.634,7.983,6.823,9.627,10.928,11.770
Man2a2,-0.112,0.621,22.884,14.928,27.346,20.563,22.538,14.066
Man2b1,-0.008,0.948,24.900,21.628,30.278,23.247,27.658,24.617
Man2b2,-0.202,0.180,32.244,38.600,47.625,28.798,33.688,30.503
Man2c1,-0.157,0.444,12.428,24.937,18.405,12.580,16.155,17.132
Man2c1os,1.221,0.097,0.000,0.000,0.000,1.089,0.308,2.259
Manba,-0.029,0.902,7.423,6.822,8.771,4.691,10.632,6.749
Manbal,-0.241,0.205,35.809,52.918,60.547,31.034,40.478,39.821
Manea,0.073,0.826,7.968,11.097,2.264,8.283,7.486,6.869
Maneal,-0.089,0.566,9.376,12.628,6.829,8.112,8.559,8.906
Manf,0.202,0.422,41.034,45.587,27.138,58.602,41.438,35.144
Mannr,0.680,0.012,0.000,0.000,0.000,0.983,0.511,0.537
Mansc1,-0.013,0.895,11.129,14.212,10.050,12.422,11.359,10.617
